source,date,total_spend,total_impressions,total_clicks,total_installs,total_registrations
tiktok,2024-05-22,10828.5,492201,7381,2286,2010
tiktok,2024-05-23,10959.01,498133,7471,2313,2035
tiktok,2024-05-24,10989.63,499525,7491,2320,2041
tiktok,2024-05-25,11027.66,501253,7518,2327,2047
tiktok,2024-05-26,11115.4,505242,7577,2346,2064
tiktok,2024-05-27,11175.31,507966,7617,2359,2075
tiktok,2024-05-28,11271.64,512344,7683,2380,2093
tiktok,2024-05-29,11330.81,515034,7724,2392,2103
tiktok,2024-05-30,11373.79,516988,7753,2401,2112
tiktok,2024-05-31,11434.68,519755,7795,2413,2123
tiktok,2024-06-01,11567.9,525811,7885,2442,2148
tiktok,2024-06-02,11647.58,529433,7940,2458,2163
tiktok,2024-06-03,11733.26,533326,7998,2477,2178
tiktok,2024-06-04,11868.88,539491,8090,2505,2204
tiktok,2024-06-05,11928.4,542197,8131,2518,2215
tiktok,2024-06-06,12051.69,547801,8216,2544,2238
tiktok,2024-06-07,12119.44,550880,8262,2559,2250
tiktok,2024-06-08,12238.35,556285,8343,2583,2272
tiktok,2024-06-09,12291.07,558681,8378,2594,2283
tiktok,2024-06-10,12416.55,564385,8464,2621,2305
tiktok,2024-06-11,12444.34,565648,8482,2627,2310
tiktok,2024-06-12,12548.36,570377,8554,2649,2330
tiktok,2024-06-13,12661.83,575534,8632,2672,2350
tiktok,2024-06-14,12710.04,577726,8664,2683,2360
tiktok,2024-06-15,12748.81,579487,8690,2691,2367
tiktok,2024-06-16,12831.04,583226,8747,2709,2382
tiktok,2024-06-17,12874.52,585202,8776,2717,2391
tiktok,2024-06-18,12940.21,588188,8821,2731,2403
tiktok,2024-06-19,13027.74,592167,8881,2750,2419
tiktok,2024-06-20,13097.44,595335,8929,2765,2431
tiktok,2024-06-21,13127.48,596701,8949,2771,2438
tiktok,2024-06-22,13164.37,598377,8973,2779,2445
tiktok,2024-06-23,13230.04,601362,9019,2792,2456
tiktok,2024-06-24,13283.51,603793,9055,2805,2467
tiktok,2024-06-25,13345.19,606596,9097,2816,2478
tiktok,2024-06-26,13381.5,608247,9121,2825,2485
tiktok,2024-06-27,13432.47,610564,9157,2835,2494
tiktok,2024-06-28,13534.78,615214,9227,2857,2513
tiktok,2024-06-29,13613.08,618773,9280,2874,2528
tiktok,2024-06-30,13678.69,621755,9325,2887,2540
tiktok,2024-07-01,13809.4,627696,9414,2915,2565
tiktok,2024-07-02,13901.29,631873,9476,2934,2582
tiktok,2024-07-03,14016.12,637093,9555,2958,2604
tiktok,2024-07-04,14125.58,642069,9629,2981,2623
tiktok,2024-07-05,14189.92,644993,9673,2996,2635
tiktok,2024-07-06,14242.75,647394,9709,3007,2645
tiktok,2024-07-07,14318.02,650815,9760,3023,2659
tiktok,2024-07-08,14418.81,655397,9829,3044,2678
tiktok,2024-07-09,14596.35,663467,9950,3081,2710
tiktok,2024-07-10,14669.24,666780,9999,3097,2724
tiktok,2024-07-11,14774.57,671567,10072,3119,2743
tiktok,2024-07-12,14830.64,674117,10110,3131,2754
tiktok,2024-07-13,14893.58,676977,10153,3145,2766
tiktok,2024-07-14,15000,681815,10226,3167,2786
